index,Test_Time,Step_Time,Cycle_Index,Step_Index,Voltage,Test_Time,Step_Time,Cycle_Index,Step_Index,Current,Test_Time,Step_Time,Cycle_Index,Step_Index,Charge_Capacity,Test_Time,Step_Time,Cycle_Index,Step_Index,Discharge_Capacity,Test_Time,Step_Time,Cycle_Index,Step_Index,Charge_Energy,Test_Time,Step_Time,Cycle_Index,Step_Index,Discharge_Energy,Test_Time,Step_Time,Cycle_Index,Step_Index,dV/dt
283,32157.357892,1320.0001,6,3,4.39999151229858,32157.357892,1320.0001,6,3,1.39324855804443,32157.357892,1320.0001,6,3,0.970430076122284,32157.357892,1320.0001,6,3,0,32157.357892,1320.0001,6,3,4.22167444229126,32157.357892,1320.0001,6,3,0,35955.247756,960.0036,7,3,9.5367431640625E-06
284,32277.361892,1440.0041,6,3,4.40000581741333,32277.361892,1440.0041,6,3,1.28485679626465,32277.361892,1440.0041,6,3,1.01500701904297,32277.361892,1440.0041,6,3,0,32277.361892,1440.0041,6,3,4.41781330108643,32277.361892,1440.0041,6,3,0,36075.250556,1080.0064,7,3,5.7220458984375E-06
285,32397.358592,1560.0008,6,3,4.40000581741333,32397.358592,1560.0008,6,3,1.19411849975586,32397.358592,1560.0008,6,3,1.05627942085266,32397.358592,1560.0008,6,3,0,32397.358592,1560.0008,6,3,4.5994119644165,32397.358592,1560.0008,6,3,0,36195.248056,1200.0039,7,3,-1.62124633789062E-05
286,32517.362592,1680.0048,6,3,4.40003347396851,32517.362592,1680.0048,6,3,1.11496829986572,32517.362592,1680.0048,6,3,1.09473562240601,32517.362592,1680.0048,6,3,0,32517.362592,1680.0048,6,3,4.76861906051636,32517.362592,1680.0048,6,3,0,36315.247956,1320.0038,7,3,-1.62124633789062E-05
287,32637.358792,1800.001,6,3,4.39999532699585,32637.358792,1800.001,6,3,1.05500602722168,32637.358792,1800.001,6,3,1.130859375,32637.358792,1800.001,6,3,0,32637.358792,1800.001,6,3,4.92756366729736,32637.358792,1800.001,6,3,0,36555.249156,1560.005,7,3,-6.4849853515625E-05
288,32757.360692,1920.0029,6,3,4.39998292922974,32757.360692,1920.0029,6,3,1.00369834899902,32757.360692,1920.0029,6,3,1.16516530513763,32757.360692,1920.0029,6,3,0,32757.360692,1920.0029,6,3,5.07850980758667,32757.360692,1920.0029,6,3,0,36675.248256,1680.0041,7,3,1.62124633789062E-05
289,32877.360892,2040.0031,6,3,4.40002965927124,32877.360892,2040.0031,6,3,0.954118728637695,32877.360892,2040.0031,6,3,1.19779276847839,32877.360892,2040.0031,6,3,0,32877.360892,2040.0031,6,3,5.22207069396973,32877.360892,2040.0031,6,3,0,36795.249456,1800.0053,7,3,-0.0001220703125
290,32997.359092,2160.0013,6,3,4.40001821517944,32997.359092,2160.0013,6,3,0.904789924621582,32997.359092,2160.0013,6,3,1.22876954078674,32997.359092,2160.0013,6,3,0,32997.359092,2160.0013,6,3,5.35836839675903,32997.359092,2160.0013,6,3,0,36915.246656,1920.0025,7,3,0.000115394592285
291,33117.358492,2280.0007,6,3,4.39996957778931,33117.358492,2280.0007,6,3,0.857040405273438,33117.358492,2280.0007,6,3,1.25812029838562,33117.358492,2280.0007,6,3,0,33117.358492,2280.0007,6,3,5.48751163482666,33117.358492,2280.0007,6,3,0,37035.249256,2040.0051,7,3,1.62124633789062E-05
292,33237.358392,2400.0006,6,3,4.39999437332153,33237.358392,2400.0006,6,3,0.809446334838867,33237.358392,2400.0006,6,3,1.28591132164001,33237.358392,2400.0006,6,3,0,33237.358392,2400.0006,6,3,5.60979270935059,33237.358392,2400.0006,6,3,0,37155.244556,2160.0004,7,3,-2.288818359375E-05
