index,Date_Time,Test_Time(s),Step_Time(s),Step_Index,Cycle_Index,Voltage,Current(A),Charge_Capacity,Discharge_Capacity,Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm)
1878,01/30/2018 05:08:44.679,213936.327868,2280.001,5,28,3.27177333831787,-3.25986766815186,2.56195640563965,2.064543,11.059024810791,7.326406,,
1879,01/30/2018 05:10:44.678,214056.327068,2400.0002,5,28,3.233717918396,-3.25990962982178,2.56195640563965,2.173199,11.059024810791,7.67989,,
1880,01/30/2018 05:12:44.678,214176.327068,2520.0002,5,28,3.18793201446533,-3.25988101959229,2.56195640563965,2.281866,11.059024810791,8.028884,,
1881,01/30/2018 05:14:44.679,214296.327868,2640.001,5,28,3.13135528564453,-3.25983238220215,2.56195640563965,2.390521,11.059024810791,8.372312,,
1882,01/30/2018 05:16:44.678,214416.327068,2760.0002,5,28,3.05725383758545,-3.25987243652344,2.56195640563965,2.499182,11.059024810791,8.708749,,
1883,01/30/2018 05:17:55.399,214487.048468,2830.7216,5,28,3,-3.260085105896,2.56195640563965,2.563211,11.059024810791,8.90274,,
1884,01/30/2018 05:19:55.444,214607.089852,120.0009,6,28,3.64608860015869,0,2.56195640563965,2.563226,11.059024810791,8.902784,,
1885,01/30/2018 05:21:55.444,214727.089852,240.0009,6,28,3.68396091461182,0,2.56195640563965,2.563226,11.059024810791,8.902784,,
1886,01/30/2018 05:22:55.446,214787.091252,300.0023,6,28,3.69125366210937,0,2.56195640563965,2.563226,11.059024810791,8.902784,,
1887,01/30/2018 05:22:55.455,214787.098976,0.0027,7,29,3.69135189056396,0,0,0,0,0,,
1888,01/30/2018 05:24:55.536,214907.19558,120.001,2,29,4.20026588439941,4.4912109375,0.158920094370842,6.36E-10,0.663339495658875,2.349E-09,,
1889,01/30/2018 05:26:55.536,215027.19558,240.001,2,29,4.20025825500488,4.00692367553711,0.299848228693008,6.36E-10,1.25527620315552,2.349E-09,,
1890,01/30/2018 05:28:55.535,215147.19478,360.0002,2,29,4.20024967193604,3.70371627807617,0.428045570850372,6.36E-10,1.79373705387115,2.349E-09,,
1891,01/30/2018 05:30:55.535,215267.19478,480.0002,2,29,4.20022869110107,3.4527530670166,0.547255516052246,6.36E-10,2.29444718360901,2.349E-09,,
1892,01/30/2018 05:32:32.074,215363.73458,576.54,2,29,4.20022773742676,3.25998687744141,0.63724547624588,6.36E-10,2.67242646217346,2.349E-09,,
1893,01/30/2018 05:34:32.088,215483.732156,120.001,3,29,4.22211360931397,3.26004409790039,0.745523273944855,6.36E-10,3.1283118724823,2.349E-09,,
1894,01/30/2018 05:36:32.088,215603.732256,240.0011,3,29,4.24631881713867,3.26003646850586,0.854174256324768,6.36E-10,3.58834981918335,2.349E-09,,
1895,01/30/2018 05:38:32.089,215723.732956,360.0018,3,29,4.27186965942383,3.26007461547852,0.962856352329254,6.36E-10,4.05122470855713,2.349E-09,,
1896,01/30/2018 05:40:32.088,215843.732256,480.0011,3,29,4.29911518096924,3.26003265380859,1.07151210308075,6.36E-10,4.51684236526489,2.349E-09,,
1897,01/30/2018 05:42:32.089,215963.733056,600.0019,3,29,4.32936763763428,3.26002883911133,1.18018639087677,6.36E-10,4.98566961288452,2.349E-09,,
1898,01/30/2018 05:44:32.088,216083.731356,720.0002,3,29,4.36104869842529,3.26007270812988,1.28882765769959,6.36E-10,5.4577260017395,2.349E-09,,
1899,01/30/2018 05:46:32.088,216203.731356,840.0002,3,29,4.39396953582764,3.26007270812988,1.39750468730927,6.36E-10,5.93344068527222,2.349E-09,,
1900,01/30/2018 05:48:32.088,216323.732256,960.0011,3,29,4.40020942687988,2.99697303771973,1.50233960151672,6.36E-10,6.39467859268189,2.349E-09,,
1901,01/30/2018 05:50:32.088,216443.732256,1080.0011,3,29,4.40023136138916,2.73878860473633,1.59780621528626,6.36E-10,6.81475400924683,2.349E-09,,
1902,01/30/2018 05:52:32.088,216563.731456,1200.0003,3,29,4.40025329589844,2.51739883422852,1.68532931804657,6.36E-10,7.199875831604,2.349E-09,,
1903,01/30/2018 05:54:32.088,216683.732256,1320.0011,3,29,4.40020942687988,2.32547950744629,1.76597893238068,6.36E-10,7.55475234985352,2.349E-09,,
1904,01/30/2018 05:56:32.088,216803.732156,1440.001,3,29,4.40019512176514,2.15660858154297,1.84060776233673,6.36E-10,7.8831353187561,2.349E-09,,
1905,01/30/2018 05:58:32.088,216923.731356,1560.0002,3,29,4.40022087097168,2.00680351257324,1.90995740890503,6.36E-10,8.18828773498535,2.349E-09,,
1906,01/30/2018 06:00:32.088,217043.731356,1680.0002,3,29,4.40019607543945,1.87019443511963,1.97454047203064,6.36E-10,8.47246646881104,2.349E-09,,
1907,01/30/2018 06:02:32.088,217163.731456,1800.0003,3,29,4.40020275115967,1.74603271484375,2.03478860855103,6.36E-10,8.73757076263428,2.349E-09,,
1908,01/30/2018 06:04:32.088,217283.732256,1920.0011,3,29,4.40020942687988,1.63207149505615,2.09104561805725,6.36E-10,8.9851131439209,2.349E-09,,
1909,01/30/2018 06:06:32.088,217403.731456,2040.0003,3,29,4.40021705627441,1.52535152435303,2.1436460018158,6.36E-10,9.2165641784668,2.349E-09,,
